date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:36:42	204371/204371	---M--	200	added ('OK')	image/gif	etag:%2263e2c124-31e53%22	https://leafletjs.com/examples/overlays/thumbnail.gif	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/overlays/thumbnail.gif	(from https://leafletjs.com/examples.html)
07:36:42	9312/9312	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-2460%22	https://leafletjs.com/examples/accessibility/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/accessibility/index.html	(from https://leafletjs.com/examples.html)
07:36:42	15832/15832	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-3dd8%22	https://leafletjs.com/examples/extending/extending-1-classes.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/extending/extending-1-classes.html	(from https://leafletjs.com/examples.html)
07:36:42	32867/32867	---M--	200	added ('OK')	image/png	etag:%2263e2c124-8063%22	https://leafletjs.com/examples/extending/thumbnail-1.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/extending/thumbnail-1.png	(from https://leafletjs.com/examples.html)
07:36:42	11525/11525	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-2d05%22	https://leafletjs.com/examples/geojson/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/geojson/index.html	(from https://leafletjs.com/examples.html)
07:36:43	21532/21532	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-541c%22	https://leafletjs.com/examples/extending/extending-2-layers.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/extending/extending-2-layers.html	(from https://leafletjs.com/examples.html)
07:36:43	169628/169628	---M--	200	added ('OK')	image/png	etag:%2263e2c124-2969c%22	https://leafletjs.com/examples/extending/thumbnail-2.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/extending/thumbnail-2.png	(from https://leafletjs.com/examples.html)
07:36:43	15236/15236	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-3b84%22	https://leafletjs.com/examples/choropleth/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/choropleth/index.html	(from https://leafletjs.com/examples.html)
07:36:43	11935/11935	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-2e9f%22	https://leafletjs.com/examples/extending/extending-3-controls.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/extending/extending-3-controls.html	(from https://leafletjs.com/examples.html)
07:36:43	36155/36155	---M--	200	added ('OK')	image/png	etag:%2263e2c124-8d3b%22	https://leafletjs.com/examples/extending/thumbnail-3.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/extending/thumbnail-3.png	(from https://leafletjs.com/examples.html)
07:36:44	9754/9754	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-261a%22	https://leafletjs.com/examples/layers-control/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/layers-control/index.html	(from https://leafletjs.com/examples.html)
07:36:44	2002/2002	---M-Z	200	added ('OK')	text/css	etag:W/%2263e2c124-7d2%22	https://leafletjs.com/docs/css/reference.css	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/css/reference.css	(from https://leafletjs.com/reference.html)
07:36:44	22191/22191	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-56af%22	https://leafletjs.com/examples/zoom-levels/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/zoom-levels/index.html	(from https://leafletjs.com/examples.html)
07:36:44	5587/5587	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-15d3%22	https://leafletjs.com/reference-versions.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/reference-versions.html	(from https://leafletjs.com/reference.html)
07:36:45	2612/2612	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263e2c124-a34%22	https://leafletjs.com/docs/js/reference.js	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/js/reference.js	(from https://leafletjs.com/reference.html)
07:36:45	10237/10237	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-27fd%22	https://leafletjs.com/examples/map-panes/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/map-panes/index.html	(from https://leafletjs.com/examples.html)
07:36:45	20847/20847	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-516f%22	https://leafletjs.com/examples/overlays/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/overlays/index.html	(from https://leafletjs.com/examples.html)
